,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,225,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,29,173,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,69,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,147,9,5,5,3,6,10,7,7,13,5,5,8,8,2,0
4,0,0,0,18,26,13,18,13,17,9,23,13,25,15,13,19,18,0,0
5,0,0,0,8,20,17,14,25,11,15,11,20,21,21,17,16,20,4,0
6,0,0,0,4,18,13,17,18,23,20,15,21,18,9,19,23,20,2,0
7,0,0,0,11,16,12,14,20,21,14,23,20,21,17,19,15,16,1,0
8,0,0,0,9,12,13,11,18,15,20,16,17,25,19,17,19,25,4,0
9,0,0,0,13,20,12,15,13,22,21,14,18,19,15,24,15,16,3,0
10,0,0,0,9,12,24,16,21,16,25,11,11,23,21,21,16,12,2,0
11,0,0,0,17,14,17,14,20,12,17,17,16,15,18,20,22,20,1,0
12,0,0,0,12,10,17,17,19,12,23,26,25,12,15,23,12,17,0,0
13,0,0,0,9,16,12,20,12,12,22,17,22,16,29,21,12,17,3,0
14,0,0,0,5,14,18,9,23,14,21,20,17,19,19,23,13,20,5,0
15,0,0,0,6,17,21,19,23,12,17,14,19,18,11,16,15,29,3,0
16,0,0,0,16,16,15,18,11,18,23,18,23,13,20,15,20,13,1,0
17,0,0,0,1,0,1,0,1,1,2,2,1,4,1,1,2,2,221,0
18,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,234
